Attack,No defence,Defence,Adv only,Mixed,FPR
apgd_0.063,80.8,baard_2stage,100.0,73.35,26.65
apgd_0.063,80.8,baard_3stage,100.0,68.75,31.25
apgd_0.063,80.8,fs,100.0,62.75,37.25
apgd_0.063,80.8,lid,80.8,90.4,0.0
apgd_0.063,80.8,magnet,100.0,99.9,0.1
apgd_0.063,80.8,rc,81.5,45.1,6.3
apgd_0.3,0.0,baard_2stage,100.0,88.4,11.6
apgd_0.3,0.0,baard_3stage,100.0,77.35,22.65
apgd_0.3,0.0,fs,85.7,53.05,39.8
apgd_0.3,0.0,lid,46.5,69.9,3.35
apgd_0.3,0.0,magnet,100.0,99.9,0.1
apgd_0.3,0.0,rc,1.0,4.85,6.3
boundary_0.3,25.0,baard_2stage,100.0,85.05,14.95
boundary_0.3,25.0,baard_3stage,100.0,79.15,20.85
boundary_0.3,25.0,fs,100.0,63.95,36.05
boundary_0.3,25.0,lid,61.7,77.75,3.1
boundary_0.3,25.0,magnet,99.5,99.65,0.1
boundary_0.3,25.0,rc,29.4,19.05,6.3
cw2_0.01,3.2,baard_2stage,100.0,81.6,18.4
cw2_0.01,3.2,baard_3stage,100.0,73.95,26.05
cw2_0.01,3.2,fs,100.0,63.95,36.05
cw2_0.01,3.2,lid,27.6,58.95,4.85
cw2_0.01,3.2,magnet,73.1,86.45,0.1
cw2_0.01,3.2,rc,14.6,11.65,6.3
cw2_100.0,3.8,baard_2stage,100.0,81.1,18.9
cw2_100.0,3.8,baard_3stage,100.0,73.95,26.05
cw2_100.0,3.8,fs,100.0,64.0,36.0
cw2_100.0,3.8,lid,23.4,58.0,3.7
cw2_100.0,3.8,magnet,72.9,86.35,0.1
cw2_100.0,3.8,rc,15.0,11.85,6.3
deepfool_0.001,1.3,baard_2stage,100.0,89.0,11.0
deepfool_0.001,1.3,baard_3stage,100.0,82.9,17.1
deepfool_0.001,1.3,fs,91.6,59.75,36.05
deepfool_0.001,1.3,lid,48.7,74.15,0.2
deepfool_0.001,1.3,magnet,97.0,98.4,0.1
deepfool_0.001,1.3,rc,3.0,5.85,6.3
deepfool_1e-06,1.6,baard_2stage,100.0,88.9,11.1
deepfool_1e-06,1.6,baard_3stage,100.0,82.65,17.35
deepfool_1e-06,1.6,fs,91.6,59.8,36.0
deepfool_1e-06,1.6,lid,52.4,75.95,0.25
deepfool_1e-06,1.6,magnet,97.2,98.5,0.1
deepfool_1e-06,1.6,rc,3.3,6.0,6.3
fgsm_0.063,84.2,baard_2stage,100.0,72.45,27.55
fgsm_0.063,84.2,baard_3stage,100.0,71.85,28.15
fgsm_0.063,84.2,fs,100.0,64.05,35.95
fgsm_0.063,84.2,lid,84.2,92.1,0.0
fgsm_0.063,84.2,magnet,100.0,99.9,0.1
fgsm_0.063,84.2,rc,84.4,46.55,6.3
fgsm_0.3,6.9,baard_2stage,100.0,88.55,11.45
fgsm_0.3,6.9,baard_3stage,100.0,79.25,20.75
fgsm_0.3,6.9,fs,97.2,62.6,36.0
fgsm_0.3,6.9,lid,60.4,78.8,1.4
fgsm_0.3,6.9,magnet,100.0,99.9,0.1
fgsm_0.3,6.9,rc,8.6,8.65,6.3
